source_row,scallop_species_label,scientific_name,part_of_scallops,sampMatCode,sampMatText,source_comment
52,Scallop species not registered in MTX Catalogue,Pecten spp.,Entire animal,A02HN#F03.A06HY,"Pecten spp., Entire animal","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
53,Scallop species not registered in MTX Catalogue,Pecten spp.,Adductor muscle,A02HN,"Pecten spp., Adductor muscle","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
54,Scallop species not registered in MTX Catalogue,Pecten spp.,Adductor muscle and Gonads,A02HN#F20.A18FK,"Pecten spp., Adductor muscle and Gonads","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
55,Scallop species not registered in MTX Catalogue,Pecten spp.,Gonads,A16FR#F20.A18FK,"Pecten spp., Gonads","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
56,Scallop species not registered in MTX Catalogue,Pecten spp.,Hepatopancreas,A16FR#F20.A18FH,"Pecten spp., Hepatopancreas","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
57,Scallop species not registered in MTX Catalogue,Pecten spp.,Entire animal excluding Hepatopancreas,A02HN#F26.A07XE,"Pecten spp., Entire animal excluding Hepatopancreas","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
58,Scallop species not registered in MTX Catalogue,Pecten spp.,Hepatopancreas and Mantle,A16FR#F20.A18FH$F20.A18FJ,"Pecten spp., Hepatopancreas and Mantle","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
59,Scallop species not registered in MTX Catalogue,Pecten spp.,"Hepatopancreas, Mantle and Gonads",A16FR#F20.A18FH$F20.A18FJ$F20.A18FK,"Pecten spp., Hepatopancreas and Mantle and Gonads","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
60,Scallop species not registered in MTX Catalogue,Pecten spp.,Mantle,A16FR#F20.A18FJ,"Pecten spp., Mantle","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
61,Scallop species not registered in MTX Catalogue,Pecten spp.,Entire animal excluding gonad and adductor muscle,A16FR,"Pecten spp., Entire animal excluding gonad and adductor muscle","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
